path,owner,reason,expiry,baseline_lines,allow_growth
core/runner/runner_test.go,core-runner,A63 staged split backlog,2026-09-30,6805,false
runtime/config/config.go,runtime-config,A63 staged split backlog,2026-09-30,6338,false
core/runner/runner.go,core-runner,A63 staged split backlog,2026-09-30,5840,false
tool/diagnosticsreplay/arbitration.go,diagnostics-replay,A63 staged split backlog,2026-09-30,4346,false
runtime/config/config_test.go,runtime-config,A63 staged split backlog,2026-09-30,3695,false
observability/event/runtime_recorder_test.go,observability,A63 staged split backlog,2026-09-30,3242,false
runtime/config/manager_test.go,runtime-config,A63 staged split backlog,2026-09-30,2899,false
runtime/config/readiness.go,runtime-config,A63 staged split backlog,2026-09-30,2749,false
runtime/diagnostics/store_test.go,runtime-diagnostics,A63 staged split backlog,2026-09-30,2509,false
runtime/diagnostics/store.go,runtime-diagnostics,A63 staged split backlog,2026-09-30,2376,false
context/assembler/assembler_test.go,context-assembler,A63 staged split backlog,2026-09-30,1872,false
orchestration/composer/composer.go,orchestration-composer,A63 staged split backlog,2026-09-30,1787,false
runtime/config/readiness_test.go,runtime-config,A63 staged split backlog,2026-09-30,1739,false
integration/sandbox_execution_isolation_contract_test.go,integration,A63 staged split backlog,2026-09-30,1646,false
a2a/interop.go,a2a,A63 staged split backlog,2026-09-30,1406,false
orchestration/scheduler/state.go,orchestration-scheduler,A63 staged split backlog,2026-09-30,1404,false
integration/benchmark_test.go,integration,A63 staged split backlog,2026-09-30,1404,false
context/assembler/assembler.go,context-assembler,A63 staged split backlog,2026-09-30,1480,false
context/assembler/context_pressure_recovery.go,context-assembler,A63 staged split backlog,2026-09-30,1745,false
observability/event/runtime_recorder.go,observability,A63 staged split backlog,2026-09-30,1458,false
tool/local/registry.go,tool-local,A63 staged split backlog,2026-09-30,1203,false
skill/loader/loader_test.go,skill-loader,A63 staged split backlog,2026-09-30,1201,false
